456,100
547,300
3663,100
5435,300
546,100
566,100
4565,200
353,100
3535,100
3436,100
454,200
4564,100
547,300
6347,100
454,100
54764,100
454,100
474,100
546,100
6449,300
4546,100
5746,100
5765,100
453,300
5637,100
35,100
647,300
46578,200
547,100
56436,100
4647,300
465,100
4546,300
5541,300
5542,300
5545,300
5544,100
55,100
54,300
55,100
54,300
55,300
54,100
35465,100
3454,300
34,100
5467,300
4646,300
4564,300
354,300
4546,100
5436,300
4546,100
3546,100
5346,100
43546,100
4546,100
454,300
4646,100
567,200
3545,100
55,100
9877,200
474,300
6445,100
6754,100
453,300
234,300
